mysql> 
SELECT value,total 
FROM totals 
WHERE variable="video" 
GROUP BY value 
HAVING total>2 
ORDER BY total DESC;
+-------------------------------+--------+
| value                         | total  |
| 1405x731x24                   |     20 |
| 1440x1080x24                  |     20 |
| 1440x745x24                   |     20 |
| 1550x750x24                   |     20 |
| 1768x992x24                   |     20 |
| 1824x1026x24                  |     20 |
| 320x320x16                    |     20 |
| 360x560x32                    |     20 |
| 800x424x16                    |     20 |
| 900x750x24                    |     20 |
| 1111x627x24                   |     19 |
| 1150x550x24                   |     19 |
| 1250x600x32                   |     19 |
| 1280x832x32                   |     19 |
| 1300x650x32                   |     19 |
| 1350x900x24                   |     19 |
| 1364x768x24                   |     19 |
| 1376x860x24                   |     19 |
| 1485x1114x32                  |     19 |
| 1517x1214x32                  |     19 |
| 1607x1005x32                  |     19 |
| 1676x943x24                   |     19 |
| 1843x1152x24                  |     19 |
| 1848x1155x24                  |     19 |
| 3040x900x24                   |     19 |
| 3120x1920x24                  |     19 |
| 320x380x32                    |     19 |
| 320x455x32                    |     19 |
| 3280x1050x24                  |     19 |
| 3360x1050x16                  |     19 |
| 853x480x32                    |     19 |
| 853x512x32                    |     19 |
| 907x512x32                    |     19 |
| 950x900x24                    |     19 |
| 991x619x32                    |     19 |
| 1023x768x32                   |     18 |
| 1050x745x24                   |     18 |
| 1053x790x32                   |     18 |
| 1088x612x24                   |     18 |
| 1229x691x32                   |     18 |
| 1280x576x24                   |     18 |
| 1429x893x24                   |     18 |
| 1493x933x24                   |     18 |
| 1600x768x24                   |     18 |
| 1600x850x24                   |     18 |
| 1755x1097x24                  |     18 |
| 240x322x32                    |     18 |
| 240x384x32                    |     18 |
| 2806x900x24                   |     18 |
| 3080x1050x24                  |     18 |
| 4480x1600x24                  |     18 |
| 600x1024x24                   |     18 |
| 747x597x24                    |     18 |
| 800x1118x32                   |     18 |
| 800x1241x32                   |     18 |
| 800x297x32                    |     18 |
| 800x352x16                    |     18 |
| 800x550x24                    |     18 |
| 896x560x24                    |     18 |
| 950x450x24                    |     18 |
| 1020x924x16                   |     17 |
| 1050x450x24                   |     17 |
| 1072x603x32                   |     17 |
| 1100x500x24                   |     17 |
| 1143x670x32                   |     17 |
| 1150x900x24                   |     17 |
| 1176x735x32                   |     17 |
| 1200x900x16                   |     17 |
| 1204x753x24                   |     17 |
| 1280x583x32                   |     17 |
| 1280x834x24                   |     17 |
| 1280x862x24                   |     17 |
| 1280x900x32                   |     17 |
| 1280x919x24                   |     17 |
| 1336x751x32                   |     17 |
| 1360x765x32                   |     17 |
| 1365x800x32                   |     17 |
| 1440x878x24                   |     17 |
| 1467x825x24                   |     17 |
| 1613x1008x24                  |     17 |
| 1875x1172x24                  |     17 |
| 234x320x4                     |     17 |
| 2560x1600x16                  |     17 |
| 313x483x32                    |     17 |
| 314x196x32                    |     17 |
| 527x269x32                    |     17 |
| 800x1193x32                   |     17 |
| 800x927x16                    |     17 |
| 850x450x24                    |     17 |
| 855x641x32                    |     17 |
| 950x700x24                    |     17 |
| 1000x500x32                   |     16 |
| 1007x755x32                   |     16 |
| 1024x528x24                   |     16 |
| 1024x602x32                   |     16 |
| 1024x681x32                   |     16 |
| 1045x784x24                   |     16 |
| 1097x1463x32                  |     16 |
| 1131x636x32                   |     16 |
| 1140x641x24                   |     16 |
| 1152x768x32                   |     16 |
| 1167x875x24                   |     16 |
| 1214x910x32                   |     16 |
| 1248x702x24                   |     16 |
| 1276x600x16                   |     16 |
| 1280x567x24                   |     16 |
| 1280x752x24                   |     16 |
| 1280x839x32                   |     16 |
| 1326x829x32                   |     16 |
| 1344x1008x32                  |     16 |
| 1396x1047x32                  |     16 |
| 1400x550x24                   |     16 |
| 1408x1126x24                  |     16 |
| 1500x900x24                   |     16 |
| 1600x1015x24                  |     16 |
| 1638x922x32                   |     16 |
| 1680x1950x24                  |     16 |
| 1792x1344x32                  |     16 |
| 1856x1392x24                  |     16 |
| 2400x1600x24                  |     16 |
| 750x550x24                    |     16 |
| 768x480x24                    |     16 |
| 800x1130x16                   |     16 |
| 800x1240x32                   |     16 |
| 800x359x32                    |     16 |
| 800x415x32                    |     16 |
| 800x800x24                    |     16 |
| 850x500x24                    |     16 |
| 933x575x24                    |     16 |
| 936x549x32                    |     16 |
| 950x800x24                    |     16 |
| 970x802x24                    |     16 |
| 981x785x32                    |     16 |
| 1000x700x16                   |     15 |
| 1000x750x32                   |     15 |
| 1024x511x32                   |     15 |
| 1050x1400x24                  |     15 |
| 1054x659x32                   |     15 |
| 1088x612x32                   |     15 |
| 1100x800x32                   |     15 |
| 1150x700x16                   |     15 |
| 1152x648x32                   |     15 |
| 1152x720x16                   |     15 |
| 1152x768x12                   |     15 |
| 1170x702x32                   |     15 |
| 1170x731x24                   |     15 |
| 1173x939x24                   |     15 |
| 1200x1000x24                  |     15 |
| 1205x678x24                   |     15 |
| 1239x929x32                   |     15 |
| 1245x778x32                   |     15 |
| 1280x600x24                   |     15 |
| 1344x840x16                   |     15 |
| 1400x893x32                   |     15 |
| 1440x1050x24                  |     15 |
| 1440x1080x32                  |     15 |
| 1450x900x24                   |     15 |
| 1456x910x24                   |     15 |
| 1503x845x24                   |     15 |
| 1600x1050x16                  |     15 |
| 1603x902x24                   |     15 |
| 1650x800x24                   |     15 |
| 1680x1850x24                  |     15 |
| 1850x850x24                   |     15 |
| 1850x950x24                   |     15 |
| 1900x850x32                   |     15 |
| 2048x1152x16                  |     15 |
| 234x282x4                     |     15 |
| 240x268x32                    |     15 |
| 240x272x32                    |     15 |
| 272x480x32                    |     15 |
| 282x386x4                     |     15 |
| 3320x1200x24                  |     15 |
| 3840x1080x32                  |     15 |
| 457x274x16                    |     15 |
| 750x500x24                    |     15 |
| 768x576x24                    |     15 |
| 800x1155x32                   |     15 |
| 800x1324x32                   |     15 |
| 800x278x32                    |     15 |
| 800x900x24                    |     15 |
| 832x520x24                    |     15 |
| 850x700x24                    |     15 |
| 854x480x16                    |     15 |
